anio,temp_media,temp_min,temp_max,precipitacion,provincia
2004,12.582786885245902,6.797814207650274,18.37185792349727,0.00.00.00.00.01.4Ip0.00.00.20.00.00.00.00.30.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.012.40.00.10.20.00.00.00.00.10.72.4Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.03.71.50.00.00.00.70.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.03.30.20.50.00.00.20.00.00.00.06.913.13.510.30.00.01.70.011.710.46.9Ip0.21.30.02.621.85.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.10.2Ip0.00.00.00.20.08.10.40.212.41.51.70.00.00.00.00.20.0Ip0.00.00.00.00.00.00.00.00.00.00.50.00.0IpIp0.40.00.20.00.0IpIp0.00.00.0Ip0.00.0IpIp0.00.00.00.04.10.0Ip0.50.00.00.00.00.0Ip0.02.04.84.00.01.05.53.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip1.04.52.50.04.60.7IpIpIp0.00.00.00.00.00.10.00.00.01.50.18.56.60.00.00.00.00.00.00.00.00.00.02.00.90.00.00.02.311.43.23.513.30.60.00.00.00.00.00.0IpIp0.00.00.00.00.00.10.51.0Ip0.05.00.00.00.00.00.01.50.03.01.66.30.60.0Ip3.50.00.00.07.410.10.00.00.00.00.00.00.00.00.00.03.00.00.32.228.10.00.00.00.00.00.00.00.00.00.00.00.21.50.5Ip0.70.00.00.00.00.00.00.03.10.00.00.00.00.00.00.00.00.00.00.00.0,Valladolid
2005,12.833698630136986,6.624383561643836,19.03890410958904,0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.12.60.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.90.00.01.1Ip0.20.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.21.622.24.514.40.00.00.12.80.05.712.15.03.50.00.00.00.013.810.50.212.82.1IpIp14.60.00.00.00.02.60.10.20.08.918.9Ip1.80.00.00.0Ip0.00.00.00.00.02.10.0Ip0.00.00.09.60.4Ip0.80.1Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.06.13.2Ip0.40.01.90.00.00.00.00.00.00.00.00.00.00.00.81.80.00.00.00.00.00.00.1Ip0.00.00.0IpIpIpIp0.00.00.00.00.00.00.00.06.21.80.00.00.00.00.00.00.00.0Ip0.00.00.0IpIp0.50.40.00.0Ip0.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.0Ip0.00.02.24.90.00.70.03.01.20.01.20.00.00.011.711.39.22.20.00.00.80.00.00.00.00.00.00.0Ip0.00.9Ip0.10.90.00.00.60.80.00.00.00.00.00.00.00.00.00.00.00.00.00.03.80.74.10.90.10.00.04.50.00.00.00.00.00.00.00.00.00.00.01.80.10.00.00.00.00.00.00.00.00.00.00.02.20.00.0Ip0.00.00.00.00.10.90.00.02.30.90.00.00.00.00.00.00.0,Valladolid
2006,13.503835616438355,7.6219178082191785,19.383013698630137,0.00.00.00.0Ip0.00.00.00.00.00.00.320.10.02.40.00.3Ip0.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.025.00.50.80.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.11.10.00.00.20.00.00.00.00.00.00.08.30.00.84.40.00.00.00.00.93.60.02.51.80.70.00.30.09.20.00.20.60.00.00.00.06.58.22.94.53.40.047.01.05.81.40.00.00.00.00.00.00.00.011.814.21.20.01.20.40.00.00.00.00.00.010.65.11.10.72.00.01.1Ip12.619.10.8Ip0.70.30.00.00.22.70.50.46.31.43.80.00.00.00.0Ip0.00.00.00.0Ip0.00.5Ip0.00.00.00.00.00.00.00.00.3Ip0.00.00.00.00.01.313.90.90.0Ip0.00.00.00.02.112.00.50.30.00.00.00.00.0Ip0.20.00.0Ip9.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.30.46.40.00.90.40.00.22.622.29.90.00.00.00.00.78.6Ip0.00.00.00.70.00.00.00.00.00.00.0Ip5.07.02.00.31.94.8Ip0.00.01.30.00.5Ip0.00.00.00.00.24.416.40.60.05.50.00.00.00.03.85.718.60.80.00.00.52.80.00.00.00.00.00.00.00.00.00.0Ip0.90.78.20.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.20.019.20.0Ip0.00.27.23.829.8IpIp11.10.00.00.00.0Ip0.00.00.00.00.00.1,Valladolid
2007,12.259178082191783,6.393698630136986,18.125205479452056,0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.50.00.00.00.00.01.30.50.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.70.00.00.00.00.0Ip0.00.00.923.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0IpIp0.00.018.32.90.00.00.00.00.00.00.00.00.00.00.00.441.218.48.05.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.315.60.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.032.510.10.28.30.00.00.00.00.00.00.00.01.70.00.10.40.30.30.00.00.00.00.00.00.00.00.00.00.0Ip0.00.91.50.00.00.03.10.00.00.00.00.00.00.00.10.00.20.20.00.00.00.00.00.00.00.00.00.0IpIp0.0Ip0.23.25.9Ip0.10.00.00.00.07.6IpIp0.00.6IpIp0.00.16.08.20.2Ip5.23.34.30.00.05.00.80.03.61.20.80.43.50.00.00.00.80.00.00.00.01.50.02.82.50.00.00.00.00.00.00.00.00.00.00.0Ip0.0Ip0.00.00.00.010.30.00.00.00.4Ip0.2Ip0.70.90.30.00.0Ip0.42.20.52.91.40.00.00.00.00.0Ip7.60.0Ip0.00.520.917.50.61.72.02.70.03.20.40.00.10.00.00.00.00.00.00.0Ip0.00.00.00.00.015.222.62.56.520.110.22.07.2Ip0.00.00.00.00.00.00.00.00.00.00.022.14.40.00.00.01.617.00.019.71.60.00.20.00.00.00.00.00.00.00.00.00.00.0,Valladolid
2008,12.205737704918032,6.364207650273224,18.048907103825137,4.916.81.20.00.30.00.00.40.20.15.50.02.20.17.40.30.00.00.00.10.5IpIp0.00.00.00.00.00.00.00.01.30.99.60.0Ip0.00.00.00.00.00.00.00.00.20.00.0Ip1.12.68.70.00.00.00.20.0Ip14.10.00.00.00.00.00.00.00.00.00.00.10.20.00.00.00.0Ip0.02.2Ip0.00.00.02.0Ip0.00.00.20.00.00.00.90.00.00.00.00.00.00.012.75.312.517.7Ip0.01.70.00.05.214.40.76.32.01.61.2Ip0.00.00.00.00.01.90.00.00.00.012.10.00.01.414.615.515.70.00.00.5Ip11.01.50.022.02.20.03.37.69.05.113.01.45.27.21.01.711.74.10.00.00.05.00.00.00.30.58.70.50.00.0Ip0.712.00.00.00.00.0Ip0.28.50.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.20.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0IpIp0.00.00.30.20.00.00.00.00.10.00.00.00.00.0Ip0.00.00.00.00.00.0Ip0.11.70.00.08.3Ip0.00.20.00.00.00.00.00.00.00.00.05.10.20.00.00.00.00.00.00.00.00.00.00.00.00.00.25.60.90.00.013.60.30.40.00.00.80.07.70.00.018.11.10.00.00.00.012.60.02.80.313.80.01.61.50.20.06.60.10.00.00.05.31.60.00.00.00.0Ip0.00.00.00.00.00.00.20.40.00.05.70.00.00.00.04.70.10.76.716.34.90.10.00.00.012.30.17.10.00.00.00.00.00.00.00.00.00.02.70.0Ip0.90.01.1,Valladolid
2009,13.462465753424658,7.284383561643836,19.642191780821918,0.03.70.20.00.0Ip0.0Ip2.8IpIp2.10.70.0Ip0.00.30.111.1Ip2.11.40.4Ip2.70.0Ip8.30.2Ip1.92.9Ip4.80.93.60.30.0Ip0.30.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip2.1IpIp2.30.3Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.0Ip0.00.05.52.30.0Ip2.64.31.90.4Ip2.10.00.00.00.00.00.00.10.00.00.50.00.10.00.00.00.00.00.00.00.30.31.32.40.00.00.00.00.00.00.00.00.00.011.3Ip1.54.0Ip0.00.00.00.00.00.00.0Ip1.40.20.52.01.71.60.00.00.00.94.40.01.40.0Ip0.00.00.00.00.00.00.00.00.04.80.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.01.3Ip0.00.00.00.00.00.00.00.014.60.00.00.00.00.00.00.60.00.00.00.00.00.00.00.01.40.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.12.00.40.00.00.00.00.00.00.00.00.00.00.52.70.00.00.0Ip0.30.05.30.00.00.00.00.00.00.00.00.00.00.01.020.433.40.00.00.00.00.00.00.00.00.00.01.50.00.0IpIp0.02.10.00.00.00.00.00.83.20.50.52.80.00.00.01.30.00.00.00.10.20.012.50.40.01.62.50.00.0Ip6.80.90.00.00.10.00.00.00.00.07.13.40.00.04.02.816.714.91.39.70.03.72.014.511.55.6,Valladolid
2010,12.607123287671234,6.849041095890411,18.361643835616437,0.7Ip8.19.30.90.00.20.1Ip1.12.013.018.10.00.65.31.20.20.20.00.0Ip4.31.60.00.0Ip0.00.00.0Ip0.00.01.01.50.20.03.32.30.00.00.00.00.0IpIp3.37.20.00.21.88.24.56.20.54.85.64.73.8Ip0.42.60.01.9Ip10.1Ip0.00.0IpIp0.00.00.00.0IpIp9.22.10.50.05.16.43.92.50.00.05.10.02.20.00.1Ip0.00.00.30.00.00.00.00.00.0Ip8.211.19.35.35.20.00.09.112.10.00.00.00.00.00.00.00.00.10.71.90.00.00.20.112.03.10.21.78.57.1Ip0.00.00.00.00.00.00.00.00.0IpIp0.00.1Ip0.00.00.00.00.00.00.00.00.00.00.919.66.19.81.10.00.03.93.70.00.00.00.00.00.00.00.00.5Ip1.90.00.00.00.09.60.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip0.80.00.00.00.02.6Ip0.00.00.00.00.00.00.02.36.51.80.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.010.60.00.00.00.32.011.80.41.10.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.013.04.82.00.00.00.00.00.00.00.01.10.50.00.00.06.01.20.09.10.70.011.00.00.00.00.00.00.00.00.00.00.83.00.06.80.01.019.410.79.012.3Ip0.00.00.45.00.00.00.00.00.0Ip14.69.911.63.40.00.00.00.00.00.01.00.0,Valladolid
2011,13.798082191780823,7.662465753424658,19.935890410958905,Ip0.10.015.82.118.0Ip2.4Ip3.8Ip0.00.00.00.00.00.20.00.00.00.00.00.00.00.00.04.90.80.01.80.00.00.00.00.00.00.00.00.00.00.00.00.04.41.90.06.8Ip4.11.11.4Ip0.00.00.00.0IpIpIp0.00.00.12.10.00.00.00.00.00.00.11.14.19.04.02.20.00.00.00.00.0IpIp0.711.85.61.63.1Ip0.00.00.01.45.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.14.47.221.90.4Ip0.00.00.10.00.03.02.55.30.00.00.00.62.60.00.00.00.03.40.00.00.00.00.0Ip23.70.00.00.00.00.00.0IpIp0.00.0Ip5.00.00.00.00.00.0Ip7.09.90.02.40.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.10.00.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.05.8Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0IpIp2.84.10.00.00.00.00.00.00.00.00.01.2Ip0.00.00.00.00.00.00.00.00.00.00.00.0Ip0.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0Ip11.10.80.17.3Ip0.00.00.04.40.323.613.70.10.0Ip0.00.58.30.60.20.0Ip2.15.4Ip0.01.54.9IpIp1.10.00.00.00.00.0Ip0.00.02.20.00.00.00.00.00.00.00.00.2IpIp0.60.10.00.80.00.00.00.00.00.00.00.00.00.00.00.00.00.00.0,Valladolid
2012,12.592349726775957,6.431967213114754,18.74863387978142,0.60.00.00.00.00.00.00.00.00.00.00.00.00.216.00.90.00.00.00.00.00.00.00.00.03.41.90.00.00.00.00.10.00.00.0Ip0.00.10.00.00.00.00.00.0Ip0.0Ip0.00.00.00.00.00.00.00.0Ip0.00.00.00.00.915.80.30.70.00.00.00.00.00.00.00.00.00.00.0Ip0.10.0Ip0.01.40.00.00.00.00.00.00.00.00.00.00.622.40.4Ip10.87.61.20.01.21.82.6Ip3.51.80.40.00.00.40.10.5Ip0.00.00.012.06.213.06.21.4IpIp0.68.84.60.40.06.92.20.00.00.00.00.00.00.00.00.00.61.0Ip0.00.00.00.00.00.00.00.00.00.00.01.29.20.00.00.0Ip0.00.00.0IpIp0.00.00.00.00.00.0Ip0.0Ip0.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.09.8Ip0.00.00.00.00.00.00.00.0Ip0.00.00.00.00.00.00.00.00.60.60.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.20.10.00.00.00.00.00.00.00.01.80.00.00.00.04.60.014.40.20.81.60.00.00.00.00.00.00.00.00.00.00.20.0Ip0.00.80.00.00.027.824.60.00.00.00.00.05.23.21.0Ip0.00.015.2Ip1.20.63.65.80.00.00.49.211.62.20.00.00.00.00.00.02.0Ip0.00.20.00.00.09.816.40.0IpIp0.0Ip0.00.00.40.00.0IpIp0.00.00.00.00.21.67.40.63.40.03.01.60.40.00.00.00.00.40.00.00.0Ip0.04.4,Valladolid
2013,12.193424657534248,6.4150684931506845,17.96767123287671,0.00.00.00.00.00.00.00.03.0Ip0.25.4Ip0.00.61.40.614.44.82.22.22.4Ip0.0IpIp3.80.00.00.00.00.60.00.00.00.0Ip0.00.00.01.6Ip0.00.00.00.00.04.00.00.41.26.29.40.0IpIp0.41.6Ip0.00.00.00.40.03.64.64.20.81.02.25.20.00.01.611.68.4Ip4.00.00.25.49.27.08.813.83.82.014.6Ip17.40.40.42.26.60.20.00.40.00.20.24.20.00.0Ip0.00.00.00.00.00.00.00.00.00.00.026.23.00.210.02.0Ip0.00.00.00.0Ip0.41.84.40.00.00.00.07.01.84.21.40.41.60.00.80.00.00.00.00.0Ip0.04.80.00.00.00.00.00.00.02.85.2Ip1.60.00.00.00.00.00.01.02.27.83.4Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.20.02.80.4Ip0.00.00.00.00.02.0Ip0.00.00.0Ip0.20.20.00.00.00.00.00.00.00.00.05.60.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.08.40.8Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.02.00.00.015.016.83.85.013.23.28.20.00.00.00.00.00.00.00.00.00.81.00.20.00.02.00.00.05.410.40.415.612.60.00.0Ip0.00.00.0Ip0.20.80.4IpIp0.00.80.00.00.00.00.00.02.21.21.60.00.40.00.00.00.0Ip0.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.01.82.20.00.00.01.03.82.00.00.00.20.425.82.82.66.30.00.08.40.2,Valladolid
